11	892.144708	5	10	20	1	1
12	892.144708	5	8	10	1	1
13	892.144708	5	9	12	1	1
14	892.144708	5	4	6	1	1
15	892.144708	5	27	29	1	1
16	892.144708	5	50	53	1	1
17	892.144708	5	14	17	1	1
18	892.144708	5	43	43	1	1
19	892.144708	5	13	15	1	1
20	892.144708	5	13	14	1	1
Ni_50_7-2_1_4	50	7	893.132600	0.000000	1461603338
1	891.532215	2	520	552	2	2
2	891.532215	2	756	764	2	2
3	891.532215	2	346	356	2	2
4	893.132569	2	182	195	1	1
5	893.132569	2	4	6	1	1
6	891.532215	2	937	983	2	2
7	891.532215	2	164	161	2	2
8	891.532215	2	595	633	2	2
9	891.532215	2	142	143	2	2
10	891.532215	2	1467	1493	2	2
11	891.532215	2	254	263	2	2
12	893.132569	2	30	35	1	1
13	891.532215	2	99	95	2	2
14	891.532215	2	602	585	2	2
15	891.532215	2	31	34	2	2
16	893.132569	2	31	34	1	1
17	893.132569	2	9	12	1	1
18	891.532215	2	1001	1016	2	2
19	893.132569	2	1	5	1	1
20	891.532215	2	204	211	2	2
Ni_50_7-2_1_5	50	7	898.664100	0.000000	1461603379
1	898.234984	5	6	12	2	2
2	898.234984	5	34	38	2	2
3	898.234984	5	2	4	2	2
4	898.234984	5	23	24	2	2
5	898.234984	5	15	17	2	2
6	898.234984	5	2	4	2	2
7	898.234984	5	8	9	2	2
8	898.234984	5	11	16	2	2
9	898.234984	5	37	39	2	2
10	898.234984	5	6	9	2	2
11	898.234984	5	2	3	2	2
12	898.234984	5	14	17	2	2
13	898.234984	5	12	14	2	2
14	898.234984	5	2	5	2	2
15	898.234984	5	6	8	2	2
16	898.234984	5	16	17	2	2
17	898.234984	5	5	7	2	2
18	898.234984	5	0	2	2	2
19	898.234984	5	20	21	2	2
20	898.234984	5	11	13	2	2
Ni_50_7-2_1_6	50	7	941.545600	0.000000	1461603419
1	922.893717	6	125	138	2	2
2	922.893717	6	39	42	2	2
3	922.893717	6	183	174	2	2
4	922.893717	6	71	71	2	2
5	922.893717	6	72	77	2	2
6	922.893717	6	59	58	2	2
7	922.893717	6	113	116	2	2
8	922.893717	6	83	86	2	2
9	922.893717	6	36	42	2	2
10	922.893717	6	109	103	2	2
11	922.893717	6	88	87	2	2
12	922.893717	6	210	208	2	2
13	922.893717	6	56	56	2	2
14	922.893717	6	166	157	2	2
15	922.893717	6	40	37	2	2
16	922.893717	6	129	120	2	2
17	922.893717	6	113	117	2	2
18	922.893717	6	61	64	2	2
19	922.893717	6	154	155	2	2
20	922.893717	6	120	129	2	2
Ni_50_7-2_1_7	50	7	933.709400	0.000000	1461603459
1	933.709381	2	2	5	1	1
2	933.709381	2	0	2	1	1
3	933.709381	2	3	5	1	1
4	933.709381	2	4	9	1	1
5	933.709381	2	11	15	1	1
6	933.709381	2	4	6	1	1
7	933.709381	2	8	11	1	1
8	933.709381	2	0	2	1	1
9	933.709381	2	0	2	1	1
10	933.709381	2	16	18	1	1
11	933.709381	2	0	2	1	1
12	933.709381	2	0	2	1	1
13	933.709381	2	7	9	1	1
14	933.709381	2	13	22	1	1
15	933.709381	2	5	8	1	1
16	933.709381	2	5	7	1	1
17	933.709381	2	5	8	1	1
18	933.709381	2	3	5	1	1
19	933.709381	2	3	6	1	1
20	933.709381	2	5	7	1	1
Ni_50_7-2_1_8	50	7	910.068600	0.000000	1461603498
1	907.506724	5	92	104	2	2
2	907.506724	5	107	113	2	2
3	907.506724	5	58	62	2	2
4	907.506724	5	57	63	2	2
5	907.506724	5	115	117	2	2
6	907.506724	5	232	245	2	2
7	907.506724	5	489	515	2	2
8	907.506724	5	221	220	2	2
9	907.506724	5	180	186	2	2
10	907.506724	5	395	409	2	2
11	907.506724	5	50	58	2	2
12	907.506724	5	511	521	2	2
13	907.506724	5	29	37	2	2
14	907.506724	5	31	35	2	2
15	907.506724	5	155	159	2	2
16	907.506724	5	116	150	2	2
17	907.506724	5	106	112	2	2
18	907.506724	5	35	39	2	2
19	907.506724	5	356	369	2	2
20	907.506724	5	572	581	2	2
Ni_50_7-2_1_9	50	7	901.546100	0.000000	1461603538
1	901.546017	7	2	8	1	2
2	901.546017	7	20	24	1	2
3	901.546017	7	8	12	1	2
4	901.546017	7	16	19	1	2
5	901.546017	7	15	16	1	2
6	901.546017	7	13	14	1	2
7	901.546017	7	23	26	1	2
8	901.546017	7	73	72	1	2
9	901.546017	7	5	8	1	2
10	901.546017	7	21	23	1	2
11	901.546017	7	2	4	1	2
12	901.546017	7	23	25	1	2
13	901.546017	7	34	38	1	2
14	901.546017	7	26	28	1	2
15	901.546017	7	1	3	1	2
16	901.546017	7	15	18	1	2
17	901.546017	7	12	14	1	2
18	901.546017	7	32	34	1	2
19	901.546017	7	11	15	1	2
20	901.546017	7	6	8	1	2
Ni_50_7-2_1_10	50	7	906.590100	0.000000	1461603579
1	899.485379	5	73	95	2	2
2	899.485379	5	2	6	2	2
3	899.485379	5	250	283	2	2
4	899.485379	5	70	80	2	2
5	899.485379	5	69	76	2	2
6	899.485379	5	82	105	2	2
7	899.485379	5	29	37	2	2
8	899.485379	5	320	331	2	2
9	899.485379	5	16	21	2	2
10	899.485379	5	71	81	2	2
11	899.485379	5	322	348	2	2
12	899.485379	5	15	20	2	2
13	899.485379	5	584	595	2	2
14	899.485379	5	436	469	2	2
15	899.485379	5	85	94	2	2
16	899.485379	5	103	124	2	2
17	899.485379	5	68	67	2	2
18	899.485379	5	56	62	2	2
19	899.485379	5	316	337	2	2
20	899.485379	5	454	508	2	2
Ni_50_7-2_1_11	50	7	893.253800	0.000000	1461603622
1	892.924818	3	201	220	2	2
2	892.924818	3	16	17	2	2
3	892.924818	3	15	18	2	2
4	892.924818	3	107	111	2	2
5	892.924818	3	55	62	2	2
6	892.924818	3	38	49	2	2
7	892.924818	3	108	114	2	2
8	892.924818	3	225	228	2	2
9	892.924818	3	22	28	2	2
10	892.924818	3	22	25	2	2
11	892.924818	3	116	132	2	2
12	892.924818	3	80	83	2	2
13	892.924818	3	78	84	2	2
14	892.924818	3	188	197	2	2
15	892.924818	3	310	327	2	2
16	892.924818	3	61	66	2	2
17	892.924818	3	109	109	2	2
18	892.924818	3	35	34	2	2
19	892.924818	3	180	184	2	2
20	892.924818	3	680	737	2	2
Ni_50_7-2_1_12	50	7	907.918800	0.000000	1461603664
1	905.603570	1	23	27	2	2
2	905.603570	1	82	80	2	2
3	905.603570	1	52	55	2	2
4	905.603570	1	56	56	2	2
5	905.603570	1	32	31	2	2
6	905.603570	1	345	333	2	2
7	905.603570	1	112	112	2	2
8	905.603570	1	22	23	2	2
9	905.603570	1	284	270	2	2
10	905.603570	1	90	87	2	2
11	905.603570	1	74	76	2	2
12	905.603570	1	74	73	2	2
13	905.603570	1	51	52	2	2
14	905.603570	1	37	41	2	2
15	905.603570	1	78	81	2	2
16	905.603570	1	82	85	2	2
17	905.603570	1	69	61	2	2
18	905.603570	1	158	150	2	2
19	905.603570	1	27	30	2	2
20	905.603570	1	43	39	2	2
Ni_50_7-2_1_13	50	7	927.990700	0.000000	1461603702
