(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	  opt_best_map.at((*iter)->filename)  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	tct[0]  	  tct[1]  	  tct[2]  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	hit_cnt
Ni_8_2-2_1_1	8	2	617.454800	1223.586274	617.454749	1489672938	20	1223.586274	1223.586274	1223.586274	617.454749	617.454749	617.454749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0	20	20
Ni_8_2-2_1_2	8	2	635.389600	1148.293020	635.389646	1489672945	20	1127.972237	1127.972237	1127.972237	830.136589	830.136589	830.136589	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_3	8	2	540.562100	1078.627538	540.562116	1489672946	20	1047.752931	1047.752931	1047.752931	657.093661	657.093661	657.093661	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_4	8	2	501.351300	972.519757	501.351315	1489672947	20	972.354006	972.354006	972.354006	589.143752	589.143752	589.143752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_5	8	2	563.239800	1116.504350	563.239860	1489672948	20	1093.873298	1093.873298	1093.873298	568.997484	568.997484	568.997484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_6	8	2	575.306300	1130.458135	575.306358	1489672949	20	1109.523269	1109.523269	1109.523269	586.128498	586.128498	586.128498	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_7	8	2	563.006300	1109.031157	563.006327	1489672950	20	1109.031157	1109.031157	1109.031157	563.006327	563.006327	563.006327	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0	20	20
Ni_8_2-2_1_8	8	2	634.894900	1111.611440	634.894873	1489672951	20	1093.394122	1093.394122	1093.394122	810.596753	810.596753	810.596753	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_9	8	2	533.055800	1064.296566	533.055821	1489672952	20	1056.621573	1056.621573	1056.621573	541.226965	541.226965	541.226965	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_10	8	2	564.976300	1126.233486	564.976235	1489672953	20	1109.793348	1109.793348	1109.793348	728.003427	728.003427	728.003427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_11	8	2	544.196800	1084.528674	544.196881	1489672954	20	1021.026429	1021.026429	1021.026429	564.097174	564.097174	564.097174	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_12	8	2	590.013200	1177.663259	590.013265	1489672955	20	1122.501943	1122.501943	1122.501943	641.535576	641.535576	641.535576	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_13	8	2	571.374000	1107.051872	571.373980	1489672955	20	1107.051872	1107.051872	1107.051872	571.373980	571.373980	571.373980	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	20	0	0	0	20	20
Ni_8_2-2_1_14	8	2	547.111300	1057.919984	547.111234	1489672956	20	1044.958458	1044.958458	1044.958458	663.625650	663.625650	663.625650	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_15	8	2	640.377700	1274.676138	640.377708	1489672957	20	1220.968413	1220.968413	1220.968413	691.793992	691.793992	691.793992	0.000000	0.000000	0.000000	0.000000	0.150000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_16	8	2	543.251100	1069.355814	543.251077	1489672958	20	964.609888	964.609888	964.609888	729.066775	729.066775	729.066775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_17	8	2	541.866900	1083.155451	541.866870	1489672959	20	1063.771829	1063.771829	1063.771829	596.285961	596.285961	596.285961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_18	8	2	587.820500	1171.911157	587.820523	1489672971	20	1138.135776	1138.135776	1138.135776	693.956558	693.956558	693.956558	0.000000	0.000000	0.000000	0.000000	0.150000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_19	8	2	577.397400	1140.005882	577.397425	1489672972	20	1140.005882	1140.005882	1140.005882	577.397425	577.397425	577.397425	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	0	20	20
Ni_8_2-2_1_20	8	2	613.592300	1202.704439	613.592339	1489672973	20	1118.590404	1118.590404	1118.590404	664.090601	664.090601	664.090601	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_21	8	2	551.753900	1093.792762	551.753879	1489672974	20	1057.858459	1057.858459	1057.858459	570.380600	570.380600	570.380600	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_22	8	2	659.616500	1317.351666	659.616480	1489672975	20	1266.410993	1266.410993	1266.410993	770.113187	770.113187	770.113187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_23	8	2	531.221800	1060.737422	531.221794	1489672976	20	1038.708026	1038.708026	1038.708026	671.512074	671.512074	671.512074	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_24	8	2	540.819300	1077.897785	540.819257	1489672977	20	1052.190453	1052.190453	1052.190453	563.383715	563.383715	563.383715	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_1_25	8	2	594.983200	1178.323207	594.983147	1489672978	20	1157.121373	1157.121373	1157.121373	717.267647	717.267647	717.267647	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_1	8	2	567.620100	1107.943447	567.620083	1489672979	20	1082.253299	1082.253299	1082.253299	576.672926	576.672926	576.672926	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_2	8	2	580.598900	1154.563859	580.598907	1489672980	20	1125.963037	1125.963037	1125.963037	712.406617	712.406617	712.406617	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_3	8	2	552.800000	1081.612925	552.800036	1489672981	20	1081.612925	1081.612925	1081.612925	552.800036	552.800036	552.800036	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	20	0	0	0	20	20
Ni_8_2-2_2_4	8	2	658.427400	1300.040808	658.427417	1489672982	20	1224.595562	1224.595562	1224.595562	953.984000	953.984000	953.984000	0.000000	0.000000	0.000000	0.000000	0.150000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_5	8	2	646.097700	1272.323515	646.097677	1489672983	20	1251.544260	1251.544260	1251.544260	661.507595	661.507595	661.507595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_6	8	2	610.089600	1195.364222	610.089556	1489672984	20	1195.364222	1195.364222	1195.364222	610.089556	610.089556	610.089556	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	0	20	20
Ni_8_2-2_2_7	8	2	597.610000	1161.061770	597.609986	1489672985	20	1122.388767	1122.388767	1122.388767	599.817674	599.817674	599.817674	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_8	8	2	630.486200	1236.382451	630.486234	1489672986	20	1165.510337	1165.510337	1165.510337	699.205661	699.205661	699.205661	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_9	8	2	673.925700	1253.670025	673.925629	1489672987	20	1214.595096	1214.595096	1214.595096	681.407810	681.407810	681.407810	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_10	8	2	633.800800	1260.356980	633.800812	1489672988	20	1223.110744	1223.110744	1223.110744	780.412734	780.412734	780.412734	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_11	8	2	639.327300	1232.837592	639.327374	1489672989	20	1232.837592	1232.837592	1232.837592	639.327374	639.327374	639.327374	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	0	20	20
Ni_8_2-2_2_12	8	2	586.856900	1169.991864	586.856903	1489672989	20	1132.449078	1132.449078	1132.449078	595.168072	595.168072	595.168072	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_13	8	2	586.533700	1159.013964	586.533703	1489672990	20	1159.013964	1159.013964	1159.013964	586.533703	586.533703	586.533703	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	20	0	0	0	20	20
Ni_8_2-2_2_14	8	2	641.833300	1276.253909	641.833342	1489672991	20	1229.718828	1229.718828	1229.718828	661.549473	661.549473	661.549473	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_15	8	2	597.789000	1180.473207	597.788979	1489672992	20	1161.778021	1161.778021	1161.778021	647.027756	647.027756	647.027756	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_16	8	2	547.463900	1090.516010	547.463909	1489672993	20	1090.516010	1090.516010	1090.516010	547.463909	547.463909	547.463909	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	0	20	20
Ni_8_2-2_2_17	8	2	637.835100	1271.124114	637.835049	1489672994	20	1259.050898	1259.050898	1259.050898	644.698884	644.698884	644.698884	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_18	8	2	654.568500	1306.159422	654.568473	1489672995	20	1269.266373	1269.266373	1269.266373	785.835218	785.835218	785.835218	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-2_2_19	8	2	583.555700	1154.178771	583.555746	1489672996	20	1146.149349	1146.149349	1146.149349	736.842234	736.842234	736.842234	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
