4	1771.113499	3	198	360	2	2
5	1771.113499	3	1490	2438	2	2
6	1771.113499	3	561	960	2	2
7	1771.113499	3	39	92	2	2
8	1771.113499	3	660	1080	2	2
9	1771.113499	3	64	130	2	2
10	1771.113499	3	26	74	2	2
11	1771.113499	3	319	578	2	2
12	1774.090116	2	786	1275	1	1
13	1771.113499	3	642	1140	2	2
14	1771.113499	3	96	189	2	2
15	1771.113499	3	37	91	2	2
16	1771.113499	3	129	296	2	2
17	1771.113499	3	839	1421	2	2
18	1771.113499	3	62	140	2	2
19	1771.113499	3	1062	1768	2	2
20	1771.113499	3	272	468	2	2
Ni_50_4-2_1_4	50	4	1775.899000	1775.898675	1462536728
1	1777.891461	2	700	1085	0	0
2	1775.898675	4	259	415	1	1
3	1778.506527	3	119	205	0	0
4	1778.506527	3	264	423	0	0
5	1778.506527	3	602	971	0	0
6	1778.506527	3	459	713	0	0
7	1778.506527	3	453	672	0	0
8	1778.506527	3	91	163	0	0
9	1778.506527	3	1117	1627	0	0
10	1778.506527	3	93	150	0	0
11	1778.506527	3	292	435	0	0
12	1777.043131	3	1658	2489	0	0
13	1778.506527	3	349	531	0	0
14	1778.506527	3	65	120	0	0
15	1775.898675	4	1729	2588	1	1
16	1775.898675	4	439	670	1	1
17	1778.506527	3	172	326	0	0
18	1775.898675	4	782	1201	1	1
19	1778.506527	3	144	232	0	0
20	1775.898675	4	138	226	1	1
Ni_50_4-2_1_5	50	4	1729.105000	1729.104644	1462536787
1	1727.388367	2	11	60	2	2
2	1727.388367	2	29	103	2	2
3	1727.388367	2	116	212	2	2
4	1727.388367	2	87	197	2	2
5	1727.388367	2	176	338	2	2
6	1727.388367	2	66	161	2	2
7	1727.388367	2	48	112	2	2
8	1727.388367	2	134	261	2	2
9	1727.388367	2	43	108	2	2
10	1727.388367	2	183	370	2	2
11	1727.388367	2	66	135	2	2
12	1727.388367	2	35	93	2	2
13	1727.388367	2	260	450	2	2
14	1727.388367	2	183	316	2	2
15	1727.388367	2	169	318	2	2
16	1727.388367	2	145	272	2	2
17	1727.388367	2	78	175	2	2
18	1727.388367	2	195	358	2	2
19	1727.388367	2	178	327	2	2
20	1727.388367	2	111	220	2	2
Ni_50_4-2_1_6	50	4	1746.842000	1746.842078	1462536854
1	1746.842078	2	445	736	1	1
2	1747.333954	3	1652	2753	0	0
3	1746.842078	2	103	210	1	1
4	1746.842078	2	110	198	1	1
5	1746.842078	2	86	163	1	1
6	1746.842078	2	244	438	1	1
7	1746.842078	2	531	907	1	1
8	1748.804377	4	491	875	0	0
9	1746.842078	2	603	1253	1	1
10	1747.333954	3	1043	2061	0	0
11	1746.842078	2	410	732	1	1
12	1746.842078	2	1055	1904	1	1
13	1746.842078	2	1461	2517	1	1
14	1746.842078	2	1079	1832	1	1
15	1746.842078	2	887	1497	1	1
16	1746.842078	2	333	580	1	1
17	1746.842078	2	1611	2699	1	1
18	1746.842078	2	148	267	1	1
19	1746.842078	2	481	822	1	1
20	1746.842078	2	424	761	1	1
Ni_50_4-2_1_7	50	4	1704.642000	1704.642366	1462536923
1	1704.642366	1	47	111	1	1
2	1704.642366	1	58	121	1	1
3	1704.642366	1	50	108	1	1
4	1704.642366	1	8	37	1	1
5	1704.642366	1	40	90	1	1
6	1704.642366	1	34	75	1	1
7	1704.642366	1	27	63	1	1
8	1704.642366	1	20	61	1	1
9	1704.642366	1	2	26	1	1
10	1704.642366	1	49	117	1	1
11	1704.642366	1	0	25	1	1
12	1704.642366	1	42	128	1	1
13	1704.642366	1	19	66	1	1
14	1704.642366	1	90	176	1	1
15	1704.642366	1	49	116	1	1
16	1704.642366	1	50	111	1	1
17	1704.642366	1	6	35	1	1
18	1704.642366	1	11	44	1	1
19	1704.642366	1	22	69	1	1
20	1704.642366	1	27	78	1	1
Ni_50_4-2_1_8	50	4	1755.685000	1755.684805	1462536989
1	1755.684805	4	124	264	1	1
2	1755.684805	4	178	330	1	1
3	1755.684805	4	54	120	1	1
4	1755.684805	4	71	157	1	1
5	1755.684805	4	189	356	1	1
6	1755.684805	4	213	413	1	1
7	1755.684805	4	80	158	1	1
8	1755.684805	4	226	444	1	1
9	1755.684805	4	97	188	1	1
10	1755.684805	4	111	223	1	1
11	1755.684805	4	195	371	1	1
12	1755.684805	4	378	660	1	1
13	1755.684805	4	1	26	1	1
14	1755.684805	4	145	282	1	1
15	1755.684805	4	76	160	1	1
16	1755.684805	4	286	520	1	1
17	1755.684805	4	30	80	1	1
18	1755.684805	4	38	102	1	1
19	1755.684805	4	104	200	1	1
20	1755.684805	4	258	480	1	1
Ni_50_4-2_1_9	50	4	1760.734000	1760.733841	1462537055
1	1760.733841	2	1074	2169	1	1
2	1760.733841	2	286	544	1	1
3	1760.733841	2	350	615	1	1
4	1760.733841	2	20	56	1	1
5	1760.733841	2	155	284	1	1
6	1760.733841	2	1453	2384	1	1
7	1760.733841	2	248	433	1	1
8	1760.733841	2	375	629	1	1
9	1760.733841	2	202	365	1	1
10	1760.733841	2	456	785	1	1
11	1760.733841	2	1791	2959	1	1
12	1760.733841	2	379	621	1	1
13	1760.733841	2	112	211	1	1
14	1762.114616	3	642	1056	0	0
15	1760.733841	2	965	1573	1	1
16	1760.733841	2	7	35	1	1
17	1760.733841	2	1834	3089	1	1
18	1760.733841	2	593	977	1	1
19	1760.733841	2	1354	2193	1	1
20	1760.733841	2	79	153	1	1
Ni_50_4-2_1_10	50	4	1679.050000	1679.049789	1462537122
1	1679.049789	3	326	600	1	1
2	1679.049789	3	73	146	1	1
3	1679.049789	3	39	95	1	1
4	1679.049789	3	15	50	1	1
5	1679.049789	3	57	124	1	1
6	1679.049789	3	31	77	1	1
7	1679.049789	3	53	115	1	1
8	1679.049789	3	3	33	1	1
9	1679.049789	3	47	105	1	1
10	1679.049789	3	24	72	1	1
11	1679.049789	3	60	128	1	1
12	1679.049789	3	13	47	1	1
13	1679.049789	3	0	22	1	1
14	1679.049789	3	255	449	1	1
15	1679.049789	3	111	206	1	1
16	1679.049789	3	80	150	1	1
17	1679.049789	3	156	284	1	1
18	1679.049789	3	106	196	1	1
19	1679.049789	3	3	31	1	1
20	1679.049789	3	96	187	1	1
Ni_50_4-2_1_11	50	4	1746.667000	1746.666264	1462537189
1	1746.666264	4	502	934	1	1
2	1746.666264	4	282	513	1	1
3	1746.666264	4	131	270	1	1
4	1746.666264	4	61	148	1	1
5	1746.666264	4	105	210	1	1
6	1746.666264	4	414	747	1	1
7	1746.666264	4	130	264	1	1
8	1746.666264	4	93	190	1	1
9	1746.666264	4	119	243	1	1
10	1746.666264	4	159	304	1	1
11	1746.666264	4	100	201	1	1
